,first_name,last_name,party-state,phone,suite
0,"Jr.,","BIDEN,",Joseph,4-2424,R.
1,Mark,"KIRK,",(R-IL),4-2854,SH-524
2,Lamar,"ALEXANDER,",(R-TN),4-4944,SD-455
3,Amy,"KLOBUCHAR,",(D-MN),4-3244,SH-302
4,Kelly,"AYOTTE,",(R-NH),4-3324,SR-144
5,James,"LANKFORD,",(R-OK),4-5754,SH-316
6,John,"BARRASSO,",(R-WY),4-6441,SD-307
7,Mike,"LEE,",(R-UT),4-5444,SR-361A
8,Roy,"BLUNT,",(R-MO),4-5721,SR-260
9,John,"McCAIN,",(R-AZ),4-2235,SR-218
10,John,"BOOZMAN,",(R-AR),4-4843,SH-141
11,Mitch,"McCONNELL,",(R-KY),4-2541,SR-317
12,Barbara,"BOXER,",(D-CA),4-3553,SH-112
13,Robert,"MENENDEZ,",(D-NJ),4-4744,SH-528
14,Sherrod,"BROWN,",(D-OH),4-2315,SH-713
15,Jeff,"MERKLEY,",(D-OR),4-3753,SH-313
16,Maria,"CANTWELL,",(D-WA),4-3441,SH-511
17,Jerry,"MORAN,",(R-KS),4-6521,SD-521
18,Lisa,"MURKOWSKI,",(R-AK),4-6665,SH-709
19,Christopher,"MURPHY,",(D-CT),4-4041,SH-136
20,Patty,"MURRAY,",(D-WA),4-2621,SR-154
21,Bill,"CASSIDY,",(R-LA),4-5824,SH-703
22,Bill,"NELSON,",(D-FL),4-5274,SH-716
23,Daniel,"COATS,",(R-IN),4-5623,SR-493
24,Rand,"PAUL,",(R-KY),4-4343,SR-167
25,Thad,"COCHRAN,",(R-MS),4-5054,SD-113
26,David,"PERDUE,",(R-GA),4-3521,SR-383
27,Bob,"CORKER,",(R-TN),4-3344,SD-425
28,Jack,"REED,",(D-RI),4-4642,SH-728
29,John,"CORNYN,",(R-TX),4-2934,SH-517
30,Harry,"REID,",(D-NV),4-3542,SH-522
31,Mike,"CRAPO,",(R-ID),4-6142,SD-239
32,Pat,"ROBERTS,",(R-KS),4-4774,SH-109
33,Ted,"CRUZ,",(R-TX),4-5922,SR-404
34,Mike,"ROUNDS,",(R-SD),4-5842,SH-502
35,Steve,"DAINES,",(R-MT),4-2651,SH-320
36,Marco,"RUBIO,",(R-FL),4-3041,SR-284
37,Joe,"DONNELLY,",(D-IN),4-4814,SH-720
38,Bernard,"SANDERS,",(I-VT),4-5141,SD-332
39,Dianne,"FEINSTEIN,",(D-CA),4-3841,SH-331
40,Tim,"SCOTT,",(R-SC),4-6121,SH-520
41,Deb,"FISCHER,",(R-NE),4-6551,SR-454
42,Jeff,"SESSIONS,",(R-AL),4-4124,SR-326
43,Jeff,"FLAKE,",(R-AZ),4-4521,SR-413
44,Jeanne,"SHAHEEN,",(D-NH),4-2841,SH-506
45,Cory,"GARDNER,",(R-CO),4-5941,SR-354
46,Debbie,"STABENOW,",(D-MI),4-4822,SH-731
47,Kirsten,"GILLIBRAND,",(D-NY),4-4451,SR-478
48,Dan,"SULLIVAN,",(R-AK),4-3004,SH-702
49,Lindsey,"GRAHAM,",(R-SC),4-5972,SR-290
50,Jon,"TESTER,",(D-MT),4-2644,SH-311
51,Chuck,"GRASSLEY,",(R-IA),4-3744,SH-135
52,Martin,"HEINRICH,",(D-NM),4-5521,SH-303
53,Thom,"TILLIS,",(R-NC),4-6342,SD-185
54,Dean,"HELLER,",(R-NV),4-6244,SH-324
55,Tom,"UDALL,",(D-NM),4-6621,SH-531
56,Johnny,"ISAKSON,",(R-GA),4-3643,SR-131
57,Sheldon,"WHITEHOUSE,",(D-RI),4-2921,SH-530
58,Tim,"KAINE,",(D-VA),4-4024,SR-231
59,Ron,"WYDEN,",(D-OR),4-5244,SD-221
